Unnamed: 0,CompanyName,Revenue,EmailScore,domain_age_years,has_founder_linkedin,registry_verified,num_funding_rounds,norm_revenue,norm_funding,confidence_score,deal_ready,nn_confidence_score
75,Company_75,2730708,52,4,1,1,2,0.262355234444848,0.6666666666666666,66.58043802223031,1,0.9999521
76,Company_76,3594679,80,8,0,1,1,0.3501521152340221,0.3333333333333333,49.66970897134711,0,2.1962084e-10
77,Company_77,5617209,42,6,0,0,1,0.5556819597571928,0.3333333333333333,29.78030586181053,0,9.76194e-13
78,Company_78,1867640,78,8,1,0,2,0.1746501166701183,0.6666666666666666,52.82633566673569,0,4.1077048e-08
79,Company_79,6823771,45,1,1,1,2,0.6782929965613766,0.6666666666666666,68.89919326456086,1,0.9999937
80,Company_80,1385160,47,8,1,1,1,0.1256204165492107,0.3333333333333333,65.17907499765089,1,0.99973637
81,Company_81,6180526,66,4,1,1,2,0.6129263296440469,0.6666666666666666,73.59185992621427,1,0.9999938
82,Company_82,5273036,48,1,0,0,0,0.520707040631606,0.0,12.41414081263212,0,1.7062292e-24
83,Company_83,1525472,76,8,1,1,0,0.1398789459874564,0.0,58.797578919749135,0,0.00014900988
84,Company_84,148984,72,4,1,1,1,0.0,0.3333333333333333,54.66666666666667,0,1.6118103e-07
85,Company_85,6656168,90,6,1,0,3,0.661261151035418,1.0,65.22522302070837,1,0.9984291
86,Company_86,1604384,81,8,0,0,1,0.1478979969241606,0.3333333333333333,25.62462660514988,0,8.618864e-23
87,Company_87,2330919,83,4,1,1,1,0.2217286078869853,0.3333333333333333,59.10123882440639,0,0.0032585226
88,Company_88,7040119,63,3,1,1,3,0.7002783173244304,1.0,80.0055663464886,1,0.9999999
89,Company_89,1837095,54,9,0,0,3,0.171546128545858,1.0,41.43092257091716,0,2.7315511e-11
90,Company_90,4880450,98,3,0,0,3,0.4808123841657075,1.0,35.61624768331415,0,7.2448436e-14
91,Company_91,7569344,93,9,1,0,0,0.7540582523403634,0.0,53.081165046807264,0,2.320302e-12
92,Company_92,2209818,71,2,1,0,2,0.2094223035544906,0.6666666666666666,41.52177940442315,0,2.1715711e-09
93,Company_93,2331785,71,2,0,1,0,0.2218166109551015,0.0,28.436332219102034,0,1.2296917e-24
94,Company_94,3953339,63,2,1,1,2,0.3865992057773912,0.6666666666666666,65.06531744888116,1,0.9998809
95,Company_95,9567719,80,6,1,0,0,0.9571334616321866,0.0,51.14266923264375,0,5.569763e-10
96,Company_96,1096107,91,3,1,1,2,0.0962468012510662,0.6666666666666666,61.25826935835467,1,0.9993849
97,Company_97,7230144,88,9,0,1,0,0.7195886903253329,0.0,52.391773806506656,0,1.097059e-10
98,Company_98,4645583,88,4,0,1,3,0.456945159455259,1.0,57.13890318910519,0,5.5417117e-05
99,Company_99,3847389,97,1,0,1,1,0.375832548656246,0.3333333333333333,36.18331763979159,0,7.635931e-20
